Wall time,Step,Value
1741304347.5597508,14100000,4.9375
1741304607.1530626,14160000,5.875
1741304870.4856408,14220000,5.125
1741305137.5650187,14280000,6.5
1741305377.6276908,14340000,4.75
1741305645.4153104,14400000,5.375
1741305894.673662,14460000,4.875
1741306155.6034296,14520000,4.5
1741306414.1259973,14580000,4.25
1741306653.240322,14640000,4.5
1741306912.2511563,14700000,5.75
1741307179.7330651,14760000,7.25
1741307454.129905,14820000,7.0625
1741307703.3458652,14880000,5.0
1741307961.3778756,14940000,5.875
1741308221.2951784,15000000,5.9375
1741308687.5290956,15060000,3.75
1741308946.82717,15120000,5.125
1741309187.8568525,15180000,3.75
1741309459.4888659,15240000,5.375
1741309730.8709455,15300000,3.8125
1741309978.4790182,15360000,2.9375
1741310243.8345063,15420000,4.4375
1741310510.3627155,15480000,4.9375
1741310760.193815,15540000,5.5
1741310996.755753,15600000,5.4375
1741311236.8784714,15660000,4.5
1741311511.0780401,15720000,5.5625
1741311784.717343,15780000,5.125
1741312061.995887,15840000,3.5625
1741312305.298092,15900000,1.3125
1741312576.1423078,15960000,3.4375
1741312849.1702225,16020000,3.5
1741313122.8540084,16080000,3.5
1741313383.9618974,16140000,4.5
1741313668.343688,16200000,6.25
1741313941.4494092,16260000,5.6875
1741314194.4793243,16320000,5.4375
1741314470.2030447,16380000,4.625
1741314736.720327,16440000,5.625
1741314992.1614592,16500000,5.0625
1741315250.0556939,16560000,8.125
1741315523.266234,16620000,6.9375
1741315796.7201047,16680000,7.375
1741316054.0606694,16740000,5.8125
1741316330.0153155,16800000,6.875
1741316584.2471352,16860000,6.6875
1741316856.0893278,16920000,5.375
1741317125.2789607,16980000,6.375
1741317388.0592728,17040000,6.1875
1741317646.3839183,17100000,5.375
1741317904.9852662,17160000,4.5
1741318164.9563413,17220000,4.9375
1741318428.6484113,17280000,5.9375
1741318692.6320808,17340000,3.9375
1741318959.7104323,17400000,2.1875
1741319229.9757655,17460000,2.5625
1741319499.6223044,17520000,5.0
1741319772.770935,17580000,5.4375
1741320023.2107353,17640000,6.75
1741320268.4124315,17700000,6.5
1741320528.4633465,17760000,5.6875
1741320799.566823,17820000,6.375
1741321063.9444036,17880000,5.9375
1741321301.0339725,17940000,5.375
1741321545.9566715,18000000,6.25
1741321798.9320872,18060000,5.625
1741322047.726031,18120000,5.6875
1741322304.841691,18180000,6.6875
1741322585.7262387,18240000,6.375
1741322855.9750638,18300000,5.0625
1741323118.2167552,18360000,4.375
1741323373.683765,18420000,6.9375
1741323623.2602205,18480000,6.375
1741323871.0075479,18540000,5.75
1741324132.4837813,18600000,5.125
1741324392.3731718,18660000,3.75
1741324651.6958468,18720000,6.8125
1741324921.5477629,18780000,6.125
1741325181.020633,18840000,7.125
1741325430.9088202,18900000,4.25
1741325689.5594895,18960000,5.5
1741325953.9881577,19020000,6.4375
1741326201.893814,19080000,5.1875
1741326480.838294,19140000,5.8125
1741326725.9194105,19200000,5.25
1741326974.7092896,19260000,4.25
1741327236.5935583,19320000,4.0
1741327499.6104403,19380000,4.5625
1741327757.0996237,19440000,4.6875
1741328019.422769,19500000,4.375
1741328290.8327072,19560000,4.875
1741328539.8664212,19620000,4.3125
1741328797.8859546,19680000,5.9375
1741329050.763682,19740000,4.75
1741329314.2873416,19800000,4.5
1741329574.3597493,19860000,6.125
1741329846.5347247,19920000,5.0625
1741330111.244859,19980000,4.375
1741330600.539253,20040000,3.75
1741330862.1815443,20100000,3.0
1741331121.9311867,20160000,3.1875
1741331376.4868276,20220000,2.875
1741331650.3926823,20280000,3.625
1741331914.7668998,20340000,4.625
1741332182.0276299,20400000,2.9375
1741332443.2366078,20460000,2.8125
1741332704.5023289,20520000,3.9375
1741332969.2478447,20580000,4.875
1741333231.4097168,20640000,3.5
1741333476.4423194,20700000,4.4375
1741333728.8674173,20760000,3.9375
1741334002.7813644,20820000,3.6875
1741334263.6230555,20880000,4.5
1741334544.5208683,20940000,4.875
1741334811.7607715,21000000,2.375
1741335078.918234,21060000,2.0
1741335360.4756627,21120000,3.1875
1741335642.3107069,21180000,2.375
1741335911.2189925,21240000,2.8125
1741336192.3918722,21300000,3.1875
1741336471.0140123,21360000,2.875
1741336747.1396623,21420000,3.5
1741337025.7205818,21480000,2.5
1741337288.7647154,21540000,2.4375
1741337550.0099838,21600000,2.125
1741337822.2413852,21660000,2.5
1741338101.7322702,21720000,4.8125
1741338363.5785334,21780000,3.5
1741338615.022472,21840000,1.6875
