Wall time,Step,Value
1741628697.9174237,60000,111.1044692993164
1741628992.7468367,120000,111.8421630859375
1741629254.205388,180000,105.36260986328125
1741629534.7453475,240000,108.59832763671875
1741629815.670998,300000,107.71690368652344
1741630098.7448766,360000,115.58697509765625
1741630365.0470235,420000,111.6827163696289
1741630651.6657677,480000,115.25878143310547
1741630931.1257124,540000,112.55802917480469
1741631207.2053187,600000,114.38265228271484
1741631479.6350002,660000,110.36888122558594
1741631751.2296338,720000,112.58113098144531
1741632026.4244542,780000,100.61601257324219
1741632284.8024893,840000,105.10360717773438
1741632561.5661347,900000,105.34776306152344
1741632856.1834462,960000,97.39616394042969
1741633145.6169703,1020000,107.60121154785156
1741633403.7316601,1080000,94.32996368408203
1741633681.138652,1140000,94.33479309082031
1741633957.563291,1200000,99.5468521118164
1741634238.5422406,1260000,110.54524993896484
1741634509.7705138,1320000,107.2081069946289
1741634800.3732977,1380000,112.75740814208984
1741635071.424567,1440000,107.81265258789062
1741635338.335859,1500000,112.975830078125
1741635620.722542,1560000,111.78260040283203
1741635890.5600367,1620000,113.46471405029297
1741636178.6572907,1680000,102.9408950805664
1741636462.4475884,1740000,104.36116027832031
1741636722.8253386,1800000,115.1519775390625
1741637009.2585545,1860000,100.91261291503906
1741637289.3209217,1920000,103.80453491210938
1741637578.540457,1980000,110.22010040283203
1741637860.0004866,2040000,111.4220962524414
1741638117.076754,2100000,107.6081771850586
1741638404.1811779,2160000,104.8646011352539
1741638672.4077365,2220000,105.5687484741211
1741638953.0250027,2280000,104.0938720703125
1741639214.9346778,2340000,108.7298583984375
1741639498.0610173,2400000,110.52424621582031
1741639768.0093358,2460000,107.65209197998047
1741640039.1366346,2520000,111.28821563720703
1741640304.0875258,2580000,106.17964935302734
1741640574.9773283,2640000,117.43101501464844
1741640855.1683393,2700000,101.62197875976562
1741641117.5973916,2760000,108.29618072509766
1741641379.1371891,2820000,104.53703308105469
1741641669.142991,2880000,113.27052307128906
1741641949.0356715,2940000,107.96398162841797
1741642226.2419314,3000000,111.7835464477539
1741642500.655344,3060000,115.4134750366211
1741642754.5498252,3120000,115.03779602050781
1741643035.5550203,3180000,121.7398910522461
1741643316.8776836,3240000,117.82685852050781
1741643604.4195137,3300000,123.36351013183594
1741643850.551888,3360000,114.26532745361328
1741644106.664466,3420000,107.4628677368164
1741644375.2137902,3480000,119.98106384277344
1741644644.0324612,3540000,119.86418151855469
1741644909.5422642,3600000,120.66378021240234
1741645193.8539639,3660000,117.90181732177734
1741645470.363991,3720000,117.11637878417969
1741645744.9598658,3780000,110.21731567382812
1741646026.187199,3840000,112.87129974365234
1741646305.6326485,3900000,108.68397521972656
1741646578.3440073,3960000,111.20494079589844
1741646852.4356437,4020000,110.62095642089844
1741647134.5180938,4080000,119.5367660522461
1741647406.5626423,4140000,119.63085174560547
1741647680.0428247,4200000,108.78216552734375
1741647961.002333,4260000,115.68125915527344
1741648227.9490542,4320000,116.85140228271484
1741648498.2868526,4380000,112.90303039550781
1741648760.6189454,4440000,117.2569808959961
1741649032.611031,4500000,108.37071228027344
1741649305.253603,4560000,105.73751831054688
1741649567.5121691,4620000,110.71868896484375
1741649856.7942135,4680000,114.8958969116211
1741650129.819129,4740000,111.27921295166016
1741650414.3300295,4800000,108.53333282470703
1741650699.4379525,4860000,114.37152099609375
1741650960.3121011,4920000,104.96411895751953
1741651244.249838,4980000,107.75242614746094
1741651771.8177726,5040000,120.34599304199219
1741652037.6358144,5100000,109.70008850097656
1741652319.683656,5160000,115.4950942993164
1741652601.4355738,5220000,110.84182739257812
1741652868.2904606,5280000,116.41302490234375
1741653147.4630973,5340000,113.873046875
1741653429.6041644,5400000,112.07283782958984
1741653701.0692437,5460000,104.28429412841797
1741653977.2780259,5520000,100.03313446044922
1741654229.172634,5580000,99.3995361328125
1741654491.4562764,5640000,106.74595642089844
1741654780.0527005,5700000,115.31201934814453
1741655048.565175,5760000,109.65911865234375
1741655329.3401024,5820000,115.88932037353516
1741655621.444765,5880000,113.60598754882812
1741655896.2782364,5940000,109.01200866699219
1741656161.2533932,6000000,97.93719482421875
1741656447.7536755,6060000,104.40946960449219
1741656717.9463282,6120000,98.27037048339844
1741657000.5592434,6180000,102.91650390625
1741657275.0659926,6240000,105.46600341796875
1741657554.179196,6300000,115.77694702148438
1741657836.9394639,6360000,113.43598175048828
1741658105.8344033,6420000,106.87734985351562
1741658389.1858857,6480000,108.17371368408203
1741658679.3105137,6540000,117.13639831542969
1741658938.8146179,6600000,101.90775299072266
1741659205.5856297,6660000,112.07774353027344
1741659489.1656356,6720000,112.3147964477539
1741659774.5087125,6780000,109.7094955444336
1741660057.646733,6840000,108.45988464355469
