Wall time,Step,Value
1741294793.6538875,11760000,0.875
1741295057.683421,11820000,1.625
1741295323.1254358,11880000,1.3125
1741295594.7683496,11940000,1.625
1741295853.9206321,12000000,1.1875
1741296098.8260615,12060000,1.0625
1741296366.5508704,12120000,1.0
1741296625.1093776,12180000,0.6875
1741296894.9627187,12240000,0.75
1741297151.9281511,12300000,0.8125
1741297407.7042675,12360000,0.8125
1741297682.9505575,12420000,0.8125
1741297959.3639305,12480000,0.5625
1741298220.1344256,12540000,0.8125
1741298477.7200315,12600000,1.5
1741298743.845381,12660000,1.9375
1741299004.4553316,12720000,2.0
1741299263.807618,12780000,1.5
1741299516.454651,12840000,2.0625
1741299786.840906,12900000,3.3125
1741300053.9934566,12960000,2.25
1741300318.5035028,13020000,1.375
1741300570.4579897,13080000,1.5625
1741300844.6017823,13140000,1.125
1741301125.985527,13200000,1.625
1741301381.3517637,13260000,2.125
1741301641.9311478,13320000,1.5625
1741301913.0581796,13380000,1.6875
1741302187.4762414,13440000,1.125
1741302464.537917,13500000,1.1875
1741302728.9718287,13560000,2.0
1741302988.7267222,13620000,1.5625
1741303258.5255222,13680000,2.0625
1741303525.0133736,13740000,2.125
1741303790.3583057,13800000,2.1875
1741304030.8651652,13860000,1.625
1741304303.7034252,13920000,1.875
1741304556.1326315,13980000,2.5
1741304826.4127479,14040000,2.9375
1741305089.7937872,14100000,1.375
1741305344.3413413,14160000,1.5
1741305617.4440756,14220000,2.0625
1741305885.81652,14280000,1.9375
1741306150.4650989,14340000,1.5625
1741306422.794127,14400000,2.3125
1741306696.0423822,14460000,1.5625
1741306963.1145084,14520000,2.125
1741307240.567568,14580000,2.5
1741307498.685979,14640000,1.6875
1741307755.3168855,14700000,2.1875
1741308030.2431977,14760000,2.6875
1741308295.814343,14820000,2.9375
1741308545.2101564,14880000,2.5625
1741308803.6198666,14940000,1.8125
1741309057.2397492,15000000,2.875
1741309547.3781314,15060000,2.5
1741309784.9803467,15120000,3.1875
1741310058.2240946,15180000,2.375
1741310329.8085783,15240000,3.625
1741310580.1070156,15300000,3.5625
1741310835.1292906,15360000,3.9375
1741311094.05564,15420000,3.625
1741311369.3856883,15480000,3.4375
1741311628.6282854,15540000,2.9375
1741311877.6099136,15600000,3.125
1741312127.7053514,15660000,3.0625
1741312393.7485566,15720000,3.875
1741312651.72867,15780000,2.8125
1741312917.1504476,15840000,2.4375
1741313189.5029793,15900000,3.6875
1741313453.5558429,15960000,4.375
1741313702.117401,16020000,3.125
1741313959.2608716,16080000,2.375
1741314215.2236478,16140000,2.6875
1741314468.3015783,16200000,2.0
1741314745.3873413,16260000,2.625
1741315008.0037155,16320000,2.0
1741315278.115833,16380000,1.875
1741315534.5115092,16440000,1.8125
1741315787.1815932,16500000,2.125
1741316032.6525354,16560000,4.0625
1741316287.1840284,16620000,3.0
1741316554.1917593,16680000,1.8125
1741316825.1301272,16740000,2.0625
1741317097.3430696,16800000,2.6875
1741317357.583453,16860000,2.375
1741317607.7403479,16920000,2.3125
1741317867.0978696,16980000,1.625
1741318135.6483147,17040000,2.3125
1741318399.9770548,17100000,1.625
1741318654.7559335,17160000,1.625
1741318923.6291833,17220000,2.6875
1741319190.8291972,17280000,4.4375
1741319464.3297892,17340000,2.875
1741319723.5601268,17400000,1.5625
1741319988.445329,17460000,3.25
1741320232.6689682,17520000,3.0625
1741320500.1081216,17580000,2.1875
1741320752.7813833,17640000,1.5625
1741321026.198627,17700000,2.875
1741321270.763793,17760000,3.0
1741321519.932055,17820000,3.5
1741321774.5747733,17880000,3.5
1741322037.8423376,17940000,4.1875
1741322296.6961877,18000000,3.625
1741322550.2683768,18060000,3.4375
1741322808.4447975,18120000,2.625
1741323051.9890554,18180000,3.375
1741323299.8524811,18240000,2.875
1741323574.141938,18300000,2.6875
1741323846.729989,18360000,4.3125
1741324114.9698277,18420000,3.0
1741324372.8887315,18480000,3.5
1741324623.251912,18540000,4.8125
