Wall time,Step,Value
1741280791.580342,8700000,5.9375
1741281040.817932,8760000,5.0625
1741281304.4018312,8820000,4.6875
1741281574.3953934,8880000,4.0625
1741281844.9709692,8940000,5.8125
1741282105.2469127,9000000,7.6875
1741282373.9635878,9060000,6.125
1741282640.2838876,9120000,7.1875
1741282909.8057015,9180000,7.375
1741283172.2231946,9240000,5.9375
1741283420.3126986,9300000,6.125
1741283694.279992,9360000,7.3125
1741283961.801194,9420000,8.125
1741284220.0248287,9480000,8.8125
1741284482.8126533,9540000,10.125
1741284751.6265612,9600000,8.625
1741285003.63497,9660000,9.0625
1741285284.7868433,9720000,8.0
1741285545.2711143,9780000,6.6875
1741285806.400918,9840000,8.4375
1741286081.100938,9900000,10.0
1741286341.9867742,9960000,7.625
1741286852.261823,10020000,8.125
1741287122.081341,10080000,5.9375
1741287370.5712428,10140000,3.375
1741287610.4418619,10200000,6.0
1741287869.6285596,10260000,5.625
1741288136.7874322,10320000,4.625
1741288397.7630696,10380000,3.4375
1741288670.0601172,10440000,3.5
1741288932.6325295,10500000,3.9375
1741289195.0115786,10560000,7.1875
1741289460.6295655,10620000,7.9375
1741289724.8225634,10680000,5.375
1741289969.1840532,10740000,6.1875
1741290207.0221283,10800000,8.5625
1741290475.3651855,10860000,5.9375
1741290731.357045,10920000,5.0
1741291000.9726238,10980000,5.0
1741291244.7338583,11040000,4.8125
1741291511.8525424,11100000,6.5
1741291782.997257,11160000,7.625
1741292046.4465077,11220000,7.75
1741292285.5948336,11280000,6.375
1741292545.7323093,11340000,5.75
1741292813.1416793,11400000,3.75
1741293062.4139056,11460000,3.4375
1741293298.8007069,11520000,5.0625
1741293545.8108125,11580000,7.6875
1741293789.5467758,11640000,5.75
1741294041.0315921,11700000,8.9375
1741294298.4634123,11760000,7.8125
1741294536.0008483,11820000,7.6875
1741294789.3170416,11880000,7.625
1741295041.3945615,11940000,3.4375
1741295304.020704,12000000,2.9375
1741295568.6596997,12060000,4.9375
1741295816.8833318,12120000,4.125
1741296075.691979,12180000,3.625
1741296345.0355098,12240000,3.8125
1741296611.818489,12300000,3.9375
1741296864.49116,12360000,3.25
1741297132.5311182,12420000,3.6875
1741297386.9333775,12480000,3.6875
1741297651.7273006,12540000,5.3125
1741297913.3996797,12600000,3.3125
1741298164.2995343,12660000,4.75
1741298437.3950138,12720000,4.375
1741298705.5598276,12780000,5.5625
1741298947.9908478,12840000,6.0625
1741299197.946617,12900000,4.75
1741299464.7062514,12960000,7.6875
1741299725.2319381,13020000,6.125
1741299968.2368538,13080000,6.8125
1741300216.5838537,13140000,7.125
1741300488.720497,13200000,5.0
1741300734.3800664,13260000,6.75
1741300991.2876894,13320000,5.25
1741301250.6757767,13380000,7.375
1741301506.2338102,13440000,7.5625
1741301767.3720994,13500000,11.0625
1741302025.9261074,13560000,9.5
1741302258.5428689,13620000,7.8125
1741302518.6418164,13680000,11.6875
1741302771.3530936,13740000,6.4375
1741303028.2874773,13800000,9.25
1741303282.7215724,13860000,9.375
1741303536.7677438,13920000,8.375
1741303800.985845,13980000,10.9375
1741304076.1117284,14040000,9.6875
1741304347.5597727,14100000,10.1875
1741304607.153085,14160000,11.25
1741304870.4856687,14220000,10.9375
1741305137.5650396,14280000,14.75
1741305377.6277134,14340000,10.375
1741305645.4153345,14400000,13.0
1741305894.673683,14460000,9.5625
1741306155.6034548,14520000,10.5625
1741306414.1260202,14580000,10.8125
1741306653.240342,14640000,11.875
1741306912.2511835,14700000,11.8125
1741307179.7330847,14760000,14.875
1741307454.1299303,14820000,14.9375
1741307703.345887,14880000,12.0625
1741307961.3778994,14940000,14.375
1741308221.2952025,15000000,14.3125
1741308687.5291216,15060000,8.25
1741308946.8271964,15120000,11.375
1741309187.8568788,15180000,9.0
1741309459.4888923,15240000,11.625
1741309730.8709679,15300000,8.75
1741309978.4790394,15360000,7.0625
1741310243.8345268,15420000,9.25
1741310510.3627424,15480000,10.75
1741310760.1938417,15540000,12.125
1741310996.755778,15600000,11.4375
